Commandos 2 Men of Courage,3.55
Commandos 3 Destination Berlin,0.5
Commandos Behind Enemy Lines,3.27
Commandos Beyond the Call of Duty,0.2
Community College Hero Trial by Fire,8.1
Company of Heroes,9.84
Company of Heroes (New Steam Version),19.5
Company of Heroes 2,22.47
Company of Heroes Europe at War,12.6
Company of Heroes Opposing Fronts,16.66
Company of Heroes Tales of Valor,13.11
Condemned Criminal Origins,0.3
Conflict Denied Ops,5.7
Confrontation,0.6
Coniclysm,0.3
Conquest of Champions,2.4
Constant C,1.2
Construct 2 Free,2.56
Construction-Simulator 2015,25.7
Contagion,4.08
Containment The Zombie Puzzler,2.3
Contraption Maker,6.6
Contrast,4.1
Controller Companion,1.2
Convoy,5.25
Cook Serve Delicious!,10.09
Copa Petrobras de Marcas,0.41
Corporate Lifestyle Simulator,0.6
Cortex Command,0.82
Cosmic DJ,2.3
Cosmic Osmo,0.2
Cosmonautica,12.43
Cosmophony,3.5
Cossacks Art of War,33.0
Cossacks Back to War,9.88
Cossacks European Wars,3.5
Cossacks II Battle for Europe,3.05
Cossacks II Napoleonic Wars,1.8
Costume Quest,4.08
Counter-Strike,236.38
Counter-Strike Condition Zero,35.33
Counter-Strike Condition Zero Deleted Scenes,4.45
Counter-Strike Global Offensive,234.4
Counter-Strike Nexon Zombies,10.95
Counter-Strike Source,134.37
Cradle,11.63
Craft The World,52.61
Crash Time II,1.54
Crawl,26.0
Crayon Physics Deluxe,0.47
Crazy Machines,1.3
Crazy Machines 2,3.77
Crazy Plant Shop,2.0
Crazy Taxi,0.6
CreaVures,1.6
Creativerse,8.2
Creeper World 3 Arc Eternal,6.05
Cricket Captain 2014,14.1
Cricket Revolution,19.2
CrimeCraft GangWars,1.5
Crimsonland,8.6
Crimzon Clover  WORLD IGNITION,1.9
Critical Mass,0.1
Critter Crunch,0.2
CroNix,1.38
Crossfire Europe,1.32
Crouching Pony Hidden Dragon,0.3
Crowntakers,0.2
Crusader Kings Complete,2.8
Crusader Kings II,118.69
Crusaders Thy Kingdom Come,1.5
Crusaders of the Lost Idols,88.41
Cry of Fear,1.88
Cryostasis,6.03
Crypt of the NecroDancer,22.09
Crysis,6.91
Crysis 2,22.34
Crysis 2 Maximum Edition,6.89
Crysis Warhead,8.28
Crysis Wars,1.79
Crystals of Time,1.85
Cthulhu Saves the World,2.79
CubeGun,3.2
Cubemen,2.44
Cubemen 2,7.5
Cubic Castles,3.7
Cubot,0.5
Cultures - Northland,194.0
Curse The Eye of Isis,0.2
Curse of Mermos,0.65
Cyto,3.4
D.I.P.R.I.P. Warm Up,3.63
D.U.S.T.,0.1
D4 Dark Dreams Don't Die,0.5
DARK,6.9
DARK SOULS II,87.24
DARK SOULS II Scholar of the First Sin,51.25
DC Universe Online,30.36
DCS Black Shark,4.2
DCS World,2.39
DEFCON,1.73
DETOUR,1.44
DLC Quest,2.82
DOOM 3,3.54
DOOM 3 BFG Edition,16.9
DOOM 3 Resurrection of Evil,2.72
DOOM II Hell on Earth,3.46
DRAGON BALL XENOVERSE,39.2
DRAKERZ-Confrontation,1.9
DUNGEONS - Steam Special Edition,10.36
DUNGEONS - The Dark Lord (Steam Special Edition),5.42
DYNASTY WARRIORS 8 Xtreme Legends Complete Edition,20.11
Daikatana,0.45
Damnation,0.2
Damnation City of Death,1.0
Damned,2.49
Dangerous High School Girls in Trouble!,0.55
Dangerous Waters,0.5
Dark Arcana The Carnival,1.6
Dark Echo,0.1
Dark Fall 1 The Journal,0.5
Dark Fall Lost Souls,3.0
Dark Messiah of Might & Magic Multi-Player,52.77
Dark Messiah of Might & Magic Single Player,7.78
Dark Souls Prepare to Die Edition,43.08
Dark Void,0.4
Dark Void Zero,0.2
DarkEnd,2.3
DarkStar One,13.97
Darkest Dungeon,21.12
Darkest Hour A Hearts of Iron Game,30.9
Darkest Hour Europe '44-'45,22.8
Darkout,1.0
Darksiders,13.13
Darksiders II,19.15
Darksiders II Deathinitive Edition,2.4
Darkspore,25.17
Darkstone,18.6
Darkwind War on Wheels,0.14
Darwinia,2.58
David.,0.2
Dawn of Discovery,9.1
Dawn of Discovery - Venice,36.52
Day One Garry's Incident,1.52
Day of Defeat,14.38
Day of Defeat Source,29.16
DayZ,82.58
Daylight,2.37
Dead Bits,2.07
Dead Effect,1.0
Dead Horde,1.05
Dead Island,13.91
Dead Island Epidemic,5.84
Dead Island Riptide,11.95
Dead Mountaineer's Hotel,0.9
Dead Pixels,0.56
Dead Realm,5.13
Dead Rising 2,6.08
Dead Rising 2 Off the Record,12.9
Dead Rising 3,12.3
Dead Space,5.04
Dead Space 2,10.03
Dead State,24.1
Dead or Alive 5 Last Round,16.3
DeadCore,2.75
Deadbreed,2.8
Deadfall Adventures,2.7
Deadlight,2.86
Deadlings - Rotten Edition,2.5
Deadly 30,2.7
Deadly Premonition The Director's Cut,2.9
Deadly Profits,3.4
Deadpool,10.08
Dear Esther,1.04
Death Rally,5.97
Death Skid Marks,0.3
DeathSpank,10.8
DeathSpank Thongs Of Virtue,6.03
Deathmatch Classic,0.74
Deathtrap,1.6
Decay - The Mare,5.0
Deepworld,0.5
Defend Your Life,1.9
Defender's Quest Valley of the Forgotten,6.12
Defense Grid 2,9.25
Defense Grid 2 A Matter of Endurance,2.3
Defense Grid The Awakening,18.43
Defiance,15.42
Defy Gravity,1.38
Delta Force 2,3.3
Delta Force Black Hawk Down,0.6
Delta Force Black Hawk Down - Team Sabre,69.0
Delve Deeper,2.3
Delver,0.87
Dementium II HD,1.27
Demigod,13.09
Demise of Nations Rome,1.5
Democracy 2,26.2
Democracy 3,5.46
Demolition Inc.,2.5
Demon Hunter Chronicles from Beyond,3.7
Demonicon,1.75
Deponia,6.59
Deponia The Complete Journey,20.4
Depression Quest,1.55
Depth,9.2
Depth Hunter 2 Deep Dive,10.4
Depths of Peril,0.2
Descent,6.8
Descent 2,0.15
Descent Underground,0.5
Desktop Dungeons,29.3
Despair,5.43
Desperados - Wanted Dead or Alive,5.6
Destination Sol,2.25
Destiny Warriors,2.6
Detective Grimoire,1.8
Dethroned!,0.23
Deus Ex Game of the Year Edition,5.09
Deus Ex Human Revolution,26.0
Deus Ex Human Revolution - Director's Cut,14.39
Deus Ex Human Revolution - The Missing Link,8.89
Deus Ex Invisible War,1.85
Deus Ex Revision,0.25
Deus Ex The Fall,2.27
Dev Guy,0.75
Devil May Cry 3 Special Edition,3.71
Devil May Cry 4,6.37
Devil May Cry 4 Special Edition,7.37
Devilian,7.82
Devils Share,0.7
Dex,10.8
DiRT,4.0
DiRT 2,10.76
DiRT 3,14.12
DiRT 3 Complete Edition,5.19
DiRT Rally,10.54
DiRT Showdown,5.42
Diamond Dan,0.1
Diaper Dash,0.3
Dig or Die,7.0
DiggerOnline,2.48
Digital Combat Simulator A-10C Warthog,0.8
Diner Dash Hometown Hero,5.1
DinerTown Tycoon,1.0
Dino D-Day,2.56
Dinosaur Hunt Africa Contract,0.5
Dirty Bomb,7.13
Disciples II Gallean's Return,9.56
Disciples II Rise of the Elves,0.33
Disciples III Reincarnation,179.15
Disciples III Renaissance,92.35
Disciples III Resurrection,5.2
Disciples Sacred Lands Gold,6.7
Dishonored,19.6
Dishonored (RU),17.84
Disney Infinity 2.0,16.4
Disney Infinity 3.0 Play Without Limits,0.66
DisplayFusion,0.27
Distance,7.64
Distant Star Revenant Fleet,1.0
Distant Worlds Universe,132.0
District 187,6.37
Dive to the Titanic,4.7
Divekick,5.93
Divine Divinity,3.63
Divine Souls,2.3
Divinity Dragon Commander,8.03
Divinity Dragon Commander Beta,3.7
Divinity II - Ego Draconis,14.95
Divinity II - The Dragon Knight Saga,20.55
Divinity II Developer's Cut,11.41
Divinity Original Sin,35.52
Divinity Original Sin Enhanced Edition,8.86
Dizzel,2.1
DmC Devil May Cry,11.93
Doc Clock The Toasted Sandwich of Time,0.93
Doctor Who The Eternity Clock,2.8
Dodge,2.1
DogFighter,0.67
Dogfight 1942,1.87
Dogs of War Online - Beta,2.0
Dollar Dash,1.0
Dominions 4,4.6
Don Bradman Cricket 14,89.0
Don't Starve,22.81
Don't Starve Together Beta,13.55
Doodle God,6.4
Door Kickers,4.88
Doorways Prelude,2.77
Doorways The Underworld,3.67
Dota 2,202.79
Double Action Boogaloo,4.83
Double Dragon Neon,2.87
Down To One,3.6
Downwell,1.8
Dr. Langeskov The Tiger and The Terribly Cursed Emerald A Whirlwind Heist,0.32
Draconian Wars,1.9
Dracula Origin,1.6
Dracula's Legacy,2.9
Dragomon Hunter,1.58
Dragon Age II,74.56
Dragon Age Origins,60.86
Dragon Age Origins - Ultimate Edition,43.26
Dragon Age Origins Character Creator,0.59
Dragon Nest,31.81
Dragon Nest Europe,51.69
Dragon Quest Heroes,6.95
Dragon The Game,0.9
Dragon's Lair,0.5
Dragon's Lair 2 Time Warp,1.3
Dragon's Prophet,9.07
Dragon's Prophet (EU),29.97
Dragons and Titans,3.05
Drakensang,69.45
Drakensang The River of Time,1.8
Draw a Stickman EPIC,0.87
Drawn The Painted Tower,3.9
Dream,1.55
Dream Of Mirror Online,1.2
Dream Pinball 3D,0.4
Dreamfall Chapters,4.78
Dreamfall The Longest Journey,5.45
